Airport ID,City,Country,Latitude,Longitude,Altitude,Altitude_BIN,Coord_X,Coord_Y,Coord_X_Nearest_End
10110,"Bubaque","Guinea-Bissau",11.297356,-15.838079,0,1,-1760.221273,1255.571789,18231.048562
10114,"Chichen Itza","Mexico",20.641300,-88.446198,102,1,-9829.782636,2294.044289,10161.487200
10116,"Bunbury","Australia",-33.378300,115.677002,53,1,12856.174908,-3709.616017,7143.319750
10117,"Upland","United States",34.111599,-117.688004,1444,1,-13079.674720,3791.113837,6911.595116
10121,"Mount Sterling","United States",38.058102,-83.979599,1019,1,-9333.371329,4229.722445,10657.898507
10122,"Elkhart","United States",41.719398,-86.003197,778,1,-9558.271056,4636.633688,10432.998779
10123,"Nappanee ","United States",41.446201,-85.934799,860,1,-9550.669454,4606.270948,10440.600381
10128,"Columbia","United States",33.970501,-80.995201,193,1,-9001.689658,3775.432407,10989.580177
10129,"Grove","United States",36.606800,-94.738602,831,1,-10529.111346,4068.426884,9462.158489
10130,"Mc Pherson","United States",38.352402,-97.691299,1498,1,-10857.269910,4262.430530,9133.999925
10131,"Greenville","United States",34.758301,-82.376404,955,1,-9155.194531,3862.987342,10836.075304
10132,"Perry","United States",32.510601,-83.767303,418,1,-9309.777110,3613.181240,10681.492725
10133,"Hartsville","United States",34.403099,-80.119202,364,1,-8904.332345,3823.510736,11086.937491
10134,"Chapel Hill","United States",35.935001,-79.065902,512,1,-8787.270142,3993.764105,11203.999694
10135,"San Cristobal de las Casas","Mexico",16.690300,-92.530098,7707,2,-10283.661433,1854.935832,9707.608403
10137,"Dunnville","Canada",42.872200,-79.595802,600,1,-8846.162497,4764.754383,11145.107339
10138,"Oak Island","United States",33.929298,-78.074997,24,1,-8677.142386,3770.853215,11314.127449
10139,"Richmond","United States",37.406502,-77.525002,236,1,-8616.016689,4157.304575,11375.253146
10140,"Atherton","Australia",-17.261700,145.514999,2450,1,16172.326844,-1918.440368,3827.167815
10141,"Bagdarin","Russia",54.369202,113.478996,3084,1,12611.891732,6042.514539,7387.602926
10142,"Rio Hato","Panama",8.375880,-80.127899,105,1,-8905.298973,930.883232,11085.970862
10144,"Oxford","United States",36.361599,-78.529198,526,1,-8727.621600,4041.175587,11263.648235
10145,"Leesburg","United States",28.823099,-81.808701,76,1,-9092.100812,3203.357605,10899.169023
10148,"Vladimir","Russia",56.126701,40.314999,554,1,4480.550715,6237.840517,15518.943944
10149,"Dedeben","South Africa",-27.205000,22.481899,3921,1,2498.605810,-3023.524395,17500.888848
10151,"Mana Pools","Zimbabwe",-15.768735,29.385617,1300,1,3265.875027,-1752.514431,16733.619631
10154,"Pouso Alegre","Brazil",-22.289200,-45.919102,2904,1,-5103.382637,-2477.189473,14887.887199
10155,"Divinopolis","Brazil",-20.180700,-44.870899,2608,1,-4986.886924,-2242.853882,15004.382912
10156,"Eysk","Russia",46.680000,38.210000,60,1,4246.604208,5187.947773,15752.890451
10157,"Berdyansk","Ukraine",46.814999,36.758099,171,1,4085.241984,5202.951326,15914.252675
10160,"Erenhot","China",43.422500,112.096667,3301,1,12458.261653,4825.913929,7541.233005
10161,"Shobdon","United Kingdom",52.241699,-2.881110,318,1,-320.202399,5806.066991,19671.067437
10162,"Chino","United States",33.974701,-117.637001,650,1,-13074.006371,3775.899187,6917.263464
10163,"Shin-kamigoto","Japan",33.013100,129.192001,263,1,14358.212419,3669.028212,5641.282240
10164,"Odika","Japan",33.190800,129.089996,30,1,14346.875730,3688.777538,5652.618929
10165,"Tokyo","Japan",35.671700,139.528000,141,1,15506.940366,3964.501159,4492.554292
10166,"Taketomi","Japan",24.058901,123.806000,43,1,13759.619982,2673.871487,6239.874676
10169,"London","United States",39.932701,-83.461998,1082,1,-9275.845900,4438.062721,10715.423935
10171,"Cayo Santa Maria","Cuba",22.621300,-79.147202,13,1,-8796.305655,2514.098578,11194.964180
10173,"Tremblay-en-France","France",44.616100,-65.761902,105,1,-7308.682783,4958.568943,12682.587053
10178,"Thun","Switzerland",46.756401,7.600560,1837,1,844.715281,5196.438877,19154.779378
10184,"Lavrentiya","Russia",65.580002,-170.996674,30,1,-19004.323307,7288.466677,986.946529
10185,"Paso Robles","United States",35.672901,-120.626999,840,1,-13406.310419,3964.634706,6584.959417
10186,"Ulleung","South Korea",37.479167,130.895556,476,1,14547.542973,4165.380447,5451.951685
10295,"Kotka","Finland",60.571400,26.896099,223,1,2989.193603,6731.817869,17010.301055
10360,"Half Moon Bay","United States",37.513401,-122.500999,66,1,-13614.584133,4169.185205,6376.685702
10363,"Hechi","China",24.805000,107.699700,2221,1,11969.589092,2756.791871,8029.905567
10370,"Kadina","Australia",-33.976700,137.660004,42,1,15299.333965,-3776.121342,4700.160694
10371,"Lancaster","United States",34.741100,-118.219002,2351,1,-13138.689099,3861.075707,6852.580736
10378,"Coondewanna","Australia",-22.966700,118.813004,2300,1,13204.705595,-2552.485819,6794.789064
10544,"Guarapari","Brazil",-20.646500,-40.491901,28,1,-4500.211433,-2294.622147,15491.058402
10545,"Ubatuba","Brazil",-23.441099,-45.075600,13,1,-5009.637038,-2605.209902,14981.632797
10611,"Nasiriyah","Iraq",30.935801,46.090099,20,1,5122.387065,3438.160188,14877.107593
